127.0.0.1 [30/Apr/2022:00:40:32 -0700] PUBLISH "live" "1" "" - 17982691 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (55s)
127.0.0.1 - - [30/Apr/2022:00:49:57 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 404 581 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 [30/Apr/2022:00:50:05 -0700] PUBLISH "live" "1" "" - 19676954 547 "" "FMLE/3.0 (compatible; FMSc/1.0)" (4m 46s)
127.0.0.1 - - [30/Apr/2022:00:50:26 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:50:26 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:50:26 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:50:26 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 404 581 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:56:52 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:56:52 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:56:52 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:00:56:52 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 404 581 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 [30/Apr/2022:00:59:04 -0700] PUBLISH "live" "1" "" - 174379768 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (8m 44s)
127.0.0.1 - - [30/Apr/2022:01:00:40 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:40 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:40 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:40 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 122 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:40 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 122 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:43 -0700] "GET /hls/stream1-0.ts HTTP/1.1" 200 2079092 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:47 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 150 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:47 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 150 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:47 -0700] "GET /hls/stream1-1.ts HTTP/1.1" 200 1750092 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:52 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 178 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:52 -0700] "GET /hls/stream1-2.ts HTTP/1.1" 200 2873204 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:00:52 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 178 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:00 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 206 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:00 -0700] "GET /hls/stream1-3.ts HTTP/1.1" 200 2870196 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
